vul,weakness_name,intrusion_action,vendor,product_name
213,improper initialization,allows an attacker to read stack memory and can be abused for information disclosure.,Siemens,"sinumerik access mymachine/p2p, sinumerik pcu base win10 software/ipc, sinumerik pcu base win7 software/ipc"
214,access of memory location after end of buffer,allow code execution.,Siemens,"sinumerik access mymachine/p2p, sinumerik pcu base win10 software/ipc, sinumerik pcu base win7 software/ipc"
215,uncontrolled search path element,"a local attacker can modify a search path and plant a binary to exploit the affected pi system software to take control of the local computer at windows system privilege level, resulting in unauthorized information disclosure, deletion, or modification.",OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
216,improper verification of cryptographic signature,a local attacker can plant a binary and bypass a code integrity check for loading pi system libraries.,OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
217,incorrect default permissions,a local attacker can exploit incorrect permissions set by affected pi system software.,OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
218,uncaught exception,"a remote, unauthenticated attacker could crash pi network manager service through specially crafted requests.",OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
219,null pointer dereference,an authenticated remote attacker could crash pi network manager due to a race condition.,OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
220,null pointer dereference,an authenticated remote attacker could crash pi archive subsystem when the subsystem is working under memory pressure.,OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
221,improper input validation,"an authenticated remote attacker could add or modify internal object properties, resulting in undefined behavior.",OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
222,improper neutralization of input during web page generation ('cross-site scripting'),an authenticated remote attacker with write access to pi vision databases could inject code into a display.,OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
223,insertion of sensitive information into log file,a local attacker could view sensitive information in log files when service accounts are customized during installation or upgrade of pi vision.,OSIsoft,"applications using pi asset framework (af) client, applications using pi software development kit (sdk), pi api for windows integrated security, pi api, pi buffer subsystem, pi connector for bacnet, pi connector for cygnet, pi connector for dc systems rtscada, pi connector for ethernet/ip, pi connector for hart-ip, pi connector for ping, pi connector for wonderware historian, pi connector relay, pi data archive, pi data collection manager, pi integrator for business analytics, pi interface configuration utility (icu), pi to ocs, pi connector for iec 60870-5-104, pi connector for opc-ua, pi connector for siemens simatic pcs 7, pi connector for ufl, pi data archive, pi data archive, pi vision, pi manual logger, rtreports, pi vision"
224,excessive data query operations in a large data table,the kernel can be forced to make very expensive calls for every incoming tcp selective acknowledgement (sack) packet which can lead to a denial-of-service condition.,Siemens,"simatic cm 1542-1, simatic net cp 1242-7, simatic net cp 1243-1 (incl.siplus net variants), simatic net cp 1243-7 lte eu, simatic net cp 1243-7 lte us, simatic net cp 1243-8 irc, simatic net cp 1542sp-1, simatic net cp 1542sp-1 irc (incl.siplus net variants), simatic net cp 1543-1 (incl.siplus net variants), simatic net cp 1543sp-1 (incl.siplus net variants), simatic net cp 1623, simatic net cp 1628, simatic net cp 343-1 advanced (incl.siplus net variants), simatic net cp 442-1 rna, simatic net cp 443-1 (incl.siplus net variants), simatic net cp 443-1 advanced (incl.siplus net variants), simatic net cp 443-1 opc ua, simatic net cp 443-1 rna, ruggedcom ape 1404 linux, ruggedcom rx 1400 vpe debian linux, ruggedcom rx 1400 vpe linux cloudconnect, scalance w1700, tim 1531 irc (incl.siplus net variants), cloudconnect 712, rox ii, ruggedcom rm1224, scalance m800, scalance s615, sinema remote connect server, simatic cp 1623, simatic cp 1628, simatic mv500, scalance m875, scalance sc-600, scalance w-700 (ieee 802.11n), scalance w1700, scalance wlc711, scalance wlc712, simatic itc1500, simatic itc1500 pro, simatic itc1900, simatic itc1900 pro, simatic itc2200, simatic itc2200 pro, simatic mv500, simatic rf185c, simatic rf186c, simatic rf186ci, simatic rf188c, simatic rf188ci, simatic rf600r, simatic s7-1500 cpu 1518-4 pn/dp mfp (incl.siplus variant), simatic teleserver adapter ie advanced, simatic teleserver adapter ie basic, sinema remote connect server, sinumerik 808d, sinumerik 828d, sinumerik 840d sl, tim 1531 irc (incl.siplus variant)"
225,integer overflow or wraparound,allow a remote attacker to cause a denial-of-service condition.,Siemens,"simatic cm 1542-1, simatic net cp 1242-7, simatic net cp 1243-1 (incl.siplus net variants), simatic net cp 1243-7 lte eu, simatic net cp 1243-7 lte us, simatic net cp 1243-8 irc, simatic net cp 1542sp-1, simatic net cp 1542sp-1 irc (incl.siplus net variants), simatic net cp 1543-1 (incl.siplus net variants), simatic net cp 1543sp-1 (incl.siplus net variants), simatic net cp 1623, simatic net cp 1628, simatic net cp 343-1 advanced (incl.siplus net variants), simatic net cp 442-1 rna, simatic net cp 443-1 (incl.siplus net variants), simatic net cp 443-1 advanced (incl.siplus net variants), simatic net cp 443-1 opc ua, simatic net cp 443-1 rna, ruggedcom ape 1404 linux, ruggedcom rx 1400 vpe debian linux, ruggedcom rx 1400 vpe linux cloudconnect, scalance w1700, tim 1531 irc (incl.siplus net variants), cloudconnect 712, rox ii, ruggedcom rm1224, scalance m800, scalance s615, sinema remote connect server, simatic cp 1623, simatic cp 1628, simatic mv500, scalance m875, scalance sc-600, scalance w-700 (ieee 802.11n), scalance w1700, scalance wlc711, scalance wlc712, simatic itc1500, simatic itc1500 pro, simatic itc1900, simatic itc1900 pro, simatic itc2200, simatic itc2200 pro, simatic mv500, simatic rf185c, simatic rf186c, simatic rf186ci, simatic rf188c, simatic rf188ci, simatic rf600r, simatic s7-1500 cpu 1518-4 pn/dp mfp (incl.siplus variant), simatic teleserver adapter ie advanced, simatic teleserver adapter ie basic, sinema remote connect server, sinumerik 808d, sinumerik 828d, sinumerik 840d sl, tim 1531 irc (incl.siplus variant)"
226,uncontrolled resource consumption ('resource exhaustion'),cause a denial-of-service condition.,Siemens,"simatic cm 1542-1, simatic net cp 1242-7, simatic net cp 1243-1 (incl.siplus net variants), simatic net cp 1243-7 lte eu, simatic net cp 1243-7 lte us, simatic net cp 1243-8 irc, simatic net cp 1542sp-1, simatic net cp 1542sp-1 irc (incl.siplus net variants), simatic net cp 1543-1 (incl.siplus net variants), simatic net cp 1543sp-1 (incl.siplus net variants), simatic net cp 1623, simatic net cp 1628, simatic net cp 343-1 advanced (incl.siplus net variants), simatic net cp 442-1 rna, simatic net cp 443-1 (incl.siplus net variants), simatic net cp 443-1 advanced (incl.siplus net variants), simatic net cp 443-1 opc ua, simatic net cp 443-1 rna, ruggedcom ape 1404 linux, ruggedcom rx 1400 vpe debian linux, ruggedcom rx 1400 vpe linux cloudconnect, scalance w1700, tim 1531 irc (incl.siplus net variants), cloudconnect 712, rox ii, ruggedcom rm1224, scalance m800, scalance s615, sinema remote connect server, simatic cp 1623, simatic cp 1628, simatic mv500, scalance m875, scalance sc-600, scalance w-700 (ieee 802.11n), scalance w1700, scalance wlc711, scalance wlc712, simatic itc1500, simatic itc1500 pro, simatic itc1900, simatic itc1900 pro, simatic itc2200, simatic itc2200 pro, simatic mv500, simatic rf185c, simatic rf186c, simatic rf186ci, simatic rf188c, simatic rf188ci, simatic rf600r, simatic s7-1500 cpu 1518-4 pn/dp mfp (incl.siplus variant), simatic teleserver adapter ie advanced, simatic teleserver adapter ie basic, sinema remote connect server, sinumerik 808d, sinumerik 828d, sinumerik 840d sl, tim 1531 irc (incl.siplus variant)"
227,uncontrolled resource consumption ('resource exhaustion'),cause a denial-of-service condition.,Siemens,"simatic cm 1542-1, simatic net cp 1242-7, simatic net cp 1243-1 (incl.siplus net variants), simatic net cp 1243-7 lte eu, simatic net cp 1243-7 lte us, simatic net cp 1243-8 irc, simatic net cp 1542sp-1, simatic net cp 1542sp-1 irc (incl.siplus net variants), simatic net cp 1543-1 (incl.siplus net variants), simatic net cp 1543sp-1 (incl.siplus net variants), simatic net cp 1623, simatic net cp 1628, simatic net cp 343-1 advanced (incl.siplus net variants), simatic net cp 442-1 rna, simatic net cp 443-1 (incl.siplus net variants), simatic net cp 443-1 advanced (incl.siplus net variants), simatic net cp 443-1 opc ua, simatic net cp 443-1 rna, ruggedcom ape 1404 linux, ruggedcom rx 1400 vpe debian linux, ruggedcom rx 1400 vpe linux cloudconnect, scalance w1700, tim 1531 irc (incl.siplus net variants), cloudconnect 712, rox ii, ruggedcom rm1224, scalance m800, scalance s615, sinema remote connect server, simatic cp 1623, simatic cp 1628, simatic mv500, scalance m875, scalance sc-600, scalance w-700 (ieee 802.11n), scalance w1700, scalance wlc711, scalance wlc712, simatic itc1500, simatic itc1500 pro, simatic itc1900, simatic itc1900 pro, simatic itc2200, simatic itc2200 pro, simatic mv500, simatic rf185c, simatic rf186c, simatic rf186ci, simatic rf188c, simatic rf188ci, simatic rf600r, simatic s7-1500 cpu 1518-4 pn/dp mfp (incl.siplus variant), simatic teleserver adapter ie advanced, simatic teleserver adapter ie basic, sinema remote connect server, sinumerik 808d, sinumerik 828d, sinumerik 840d sl, tim 1531 irc (incl.siplus variant)"
228,improper input validation,this can lead to buffer overflow or format string vulnerabilities.,Philips,pagewriter tc10
229,use of hard-coded credentials,allow the user to reset existing passwords.,Philips,pagewriter tc10
230,incorrect default permissions,allow low privileged users to modify system and application files.,ABB,"opc server for ac 800m, control builder m professional, mms server for ac 800m, base software for softcontrol, abb system 800xa base"
231,incorrect default permissions,"an attacker who successfully exploits the weak file permissions in one of the abb system 800xa functions could corrupt applications by escalating privileges, executing arbitrary code, and affecting various engineering functions.",ABB,"opc server for ac 800m, control builder m professional, mms server for ac 800m, base software for softcontrol, abb system 800xa base"
232,incorrect permission assignment for critical resource,low privileged users can read and modify registry settings used to control system functionality.,ABB,system 800xa base
233,incorrect default permissions,an attacker could exploit this vulnerability by injecting garbage data or specially crafted data.,ABB,"opc server for ac 800m, mms server for ac 800m, base software for softcontrol, abb system 800xa base, 800xa for dci, 800xa for mod 300, 800xa rnrp, 800xa batch management, 800xa information management"
234,incorrect default permissions,an attacker could exploit this vulnerability by injecting garbage data or specially crafted data.,ABB,"opc server for ac 800m, mms server for ac 800m, base software for softcontrol, abb system 800xa base, 800xa for dci, 800xa for mod 300, 800xa rnrp, 800xa batch management, 800xa information management"
235,incorrect default permissions,an attacker could exploit this vulnerability by injecting garbage data or specially crafted data.,ABB,"opc server for ac 800m, mms server for ac 800m, base software for softcontrol, abb system 800xa base, 800xa for dci, 800xa for mod 300, 800xa rnrp, 800xa batch management, 800xa information management"
236,incorrect default permissions,an attacker could exploit this vulnerability by injecting garbage data or specially crafted data.,ABB,"opc server for ac 800m, mms server for ac 800m, base software for softcontrol, abb system 800xa base, 800xa for dci, 800xa for mod 300, 800xa rnrp, 800xa batch management, 800xa information management"
237,incorrect default permissions,an attacker could exploit this vulnerability by injecting garbage data or specially crafted data.,ABB,"opc server for ac 800m, mms server for ac 800m, base software for softcontrol, abb system 800xa base, 800xa for dci, 800xa for mod 300, 800xa rnrp, 800xa batch management, 800xa information management"
238,incorrect default permissions,an attacker could exploit this vulnerability by injecting garbage data or specially crafted data.,ABB,"opc server for ac 800m, mms server for ac 800m, base software for softcontrol, abb system 800xa base, 800xa for dci, 800xa for mod 300, 800xa rnrp, 800xa batch management, 800xa information management"
239,incorrect default permissions,an attacker could exploit this vulnerability by injecting garbage data or specially crafted data.,ABB,"opc server for ac 800m, mms server for ac 800m, base software for softcontrol, abb system 800xa base, 800xa for dci, 800xa for mod 300, 800xa rnrp, 800xa batch management, 800xa information management"
240,information exposure,allow an attacker to login to the affected node as a low privileged user and read confidential data from an unprotected file.,ABB,"abb ability system 800xa and related system extensions, compact hmi, control builder safe, abb ability symphony plus – s+ operations, abb ability symphony plus – s+ engineering, composer harmony, composer melody (incl.spe for melody, harmony opc server (haopc): standalone, abb ability system 800xa / advant ocs control builder a, advant ocs ac 100 opc server, composer ctk, advabuild, opc server mod 300 (non-800xa), opc data link, abb ability knowledge manager, abb ability manufacturing operations management"
241,improper restriction of xml external entity reference,allow an attacker to read arbitrary files from the license server and/or from the network.,ABB,"abb ability system 800xa and related system extensions, compact hmi, control builder safe, abb ability symphony plus – s+ operations, abb ability symphony plus – s+ engineering, composer harmony, composer melody (incl.spe for melody, harmony opc server (haopc): standalone, abb ability system 800xa / advant ocs control builder a, advant ocs ac 100 opc server, composer ctk, advabuild, opc server mod 300 (non-800xa), opc data link, abb ability knowledge manager, abb ability manufacturing operations management"
242,uncontrolled resource consumption,allow an attacker to successfully block license handling.,ABB,"abb ability system 800xa and related system extensions, compact hmi, control builder safe, abb ability symphony plus – s+ operations, abb ability symphony plus – s+ engineering, composer harmony, composer melody (incl.spe for melody, harmony opc server (haopc): standalone, abb ability system 800xa / advant ocs control builder a, advant ocs ac 100 opc server, composer ctk, advabuild, opc server mod 300 (non-800xa), opc data link, abb ability knowledge manager, abb ability manufacturing operations management"
243,"permissions, privileges, and access controls",allow an attacker to alter licenses assigned to system nodes.,ABB,"abb ability system 800xa and related system extensions, compact hmi, control builder safe, abb ability symphony plus – s+ operations, abb ability symphony plus – s+ engineering, composer harmony, composer melody (incl.spe for melody, harmony opc server (haopc): standalone, abb ability system 800xa / advant ocs control builder a, advant ocs ac 100 opc server, composer ctk, advabuild, opc server mod 300 (non-800xa), opc data link, abb ability knowledge manager, abb ability manufacturing operations management"
244,improper access control,"allow an attacker to block license handling, escalate privileges, and execute arbitrary code.",ABB,"abb ability system 800xa and related system extensions, compact hmi, control builder safe, abb ability symphony plus – s+ operations, abb ability symphony plus – s+ engineering, composer harmony, composer melody (incl.spe for melody, harmony opc server (haopc): standalone, abb ability system 800xa / advant ocs control builder a, advant ocs ac 100 opc server, composer ctk, advabuild, opc server mod 300 (non-800xa), opc data link, abb ability knowledge manager, abb ability manufacturing operations management"
245,missing authentication for critical function,allow multiple unauthenticated attacks that could cause serious impact.,GE,"rt430, rt431, and rt434, all firmware"
246,improper access control,an open port used for debugging grants root access to the device without access control via network.,SWARCO TRAFFIC SYSTEMS,cpu ls4000: all os
247,missing authentication for critical function,the affected product lacks proper authentication required to query the server.,Inductive Automation,"inductive automation ignition 7 gateway, inductive automation ignition 8 gateway"
248,deserialization of untrusted data,"the affected product lacks proper validation of user-supplied data, which can result in deserialization of untrusted data.",Inductive Automation,"inductive automation ignition 7 gateway, inductive automation ignition 8 gateway"
249,deserialization of untrusted data,"the issue results from the lack of proper validation of user-supplied data, which can result in deserialization of untrusted data.",Inductive Automation,"inductive automation ignition 7 gateway, inductive automation ignition 8 gateway"
250,sql injection,an attacker could exploit an sql injection vulnerability by enticing a user to open a maliciously crafted project file.,Schneider Electric,ecostruxure operator terminal expert
251,path traversal,an attacker could exploit this path traversal vulnerability by getting a user to visit a malicious page or open a malicious file.,Schneider Electric,ecostruxure operator terminal expert
252,path traversal,an attacker could exploit this path traversal vulnerability by getting a user to visit a malicious page or open a malicious file.,Schneider Electric,ecostruxure operator terminal expert
253,argument injection,a remote attacker can trick a victim to open a specially crafted project file and gain unauthorized write access to the target system.,Schneider Electric,ecostruxure operator terminal expert
254,path traversal,cause arbitrary application execution when the computer starts.,Schneider Electric,ecostruxure operator terminal expert
255,improper restriction of operations within the bounds of a memory buffer,"allow an attacker to craft specialized eds files to crash the edsparser com object, leading to denial-of-service conditions.",Rockwell Automation,"factorytalk linx software (previously called rslinx enterprise), rslinx classic, rsnetworx software, studio 5000 logix designer software"
256,improper neutralization of special elements used in an sql command ('sql injection'),allow an attacker to craft specialized eds files to inject sql queries and manipulate the database storing the eds files.,Rockwell Automation,"factorytalk linx software (previously called rslinx enterprise), rslinx classic, rsnetworx software, studio 5000 logix designer software"
257,external control of file name or path,"as a result, an attacker with user privileges can gain arbitrary file write access with system access.",Opto 22,softpac project
258,improper verification of cryptographic signature,allows an attacker to replace legitimate firmware files with malicious files.,Opto 22,softpac project
259,improper access control,"allows an attacker with network access to control the softpacagent service including updating softpac firmware, starting or stopping service, or writing to certain registry values.",Opto 22,softpac project
260,uncontrolled search path element,"therefore, an attacker can replace them and execute code whenever the service starts.",Opto 22,softpac project
261,improper authorization,"allows an attacker with network access to directly communicate with softpac, including, for example, stopping the service remotely.",Opto 22,softpac project
262,improper input validation,allow an attacker to perform command injection or code execution.,Eaton,intelligent power manager
263,incorrect privilege assignment,"allow non-administrator users to upload the system configuration files by sending specially crafted requests, which could allow non-administrator users to manipulate the system configurations.",Eaton,intelligent power manager
264,uncontrolled resource consumption (‘resource exhaustion’),"certain linux kernel versions can be forced to make resource intensive calls for every incoming packet, which can lead to a denial-of-service condition.",Siemens,"ie/pb-link v3, ruggedcom rm1224, ruggedcom rox ii, scalance m-800 family, scalance s615, scalance sc-600, scalance w1700 ieee 802.11ac, scalance w700 ieee 802.11a/b/g/n, simatic cp 1242-7, simatic cp 1243-1 (incl.siplus net variants), simatic cp 1243-7 lte eu, simatic cp 2243-7 lte us, simatic cp 1243-8 irc, simatic cp 1542sp-1, simatic cp 1542sp-1 irc (incl.siplus net variants), simatic cp 1543-1 (incl.siplus net variants), simatic cp 1543sp-1 (incl.siplus net variants), simatic rf185c, simatic rf186c, simatic rf186ci, simatic rf188c, simatic rf188ci, sinema remote connect server"
265,improper input validation,cause a denial-of-service condition by sending specially crafted ip fragments.,Siemens,"ie/pb-link v3, ruggedcom rm1224, ruggedcom rox ii, scalance m-800 family, scalance s615, scalance sc-600, scalance w1700 ieee 802.11ac, scalance w700 ieee 802.11a/b/g/n, simatic cp 1242-7, simatic cp 1243-1 (incl.siplus net variants), simatic cp 1243-7 lte eu, simatic cp 2243-7 lte us, simatic cp 1243-8 irc, simatic cp 1542sp-1, simatic cp 1542sp-1 irc (incl.siplus net variants), simatic cp 1543-1 (incl.siplus net variants), simatic cp 1543sp-1 (incl.siplus net variants), simatic rf185c, simatic rf186c, simatic rf186ci, simatic rf188c, simatic rf188ci, sinema remote connect server"
266,uncontrolled resource consumption (‘resource exhaustion’),"the interniche-based tcp stack can be forced to make resource intense calls for every incoming packet, which can lead to a denial of service.",Siemens,"ktk ate530s, sidoor atd430w, sidoor ate530s coated, sidoor ate531s, simatic et200sp im155-6 mf hf, simatic et 200sp open controller cpu 1515sp pc (incl.siplus variants), simatic et 200sp open controller cpu 1515sp pc2 (incl.siplus variants), simatic et200mp im155-5 pn hf (incl.siplus variants), simatic et200sp im155-6 pn ha (incl.siplus variants), simatic et200sp im155-6 pn hf (incl.siplus variants), simatic et200sp im155-6 pn/2 hf (incl.siplus variants), simatic et200sp im155-6 pn/3 hf (incl.siplus variants), simatic micro-drive pdc, simatic pn/pn coupler (incl.siplus net variants), simatic s7-1500 cpu family (incl.related et200 cpus and siplus variants), simatic s7-1500 software controller, simatic s7-300 cpu family (incl.related et200 cpus and siplus variants), simatic s7-400 h, simatic s7-400 pn/dp v7 and below cpu family (incl.siplus variants), simatic s7-410 cpu family (incl.siplus variants), simatic tdc cp51m1, simatic tdc cpu555, simatic winac rtx (f) 2010, sinamics s/g control unit w. profinet"
267,incorrect calculation of buffer size,"through specially crafted messages, when encrypted communication is enabled, an attacker with network access could compromise the availability of the system by causing a denial-of-service condition.",Siemens,"openpcs 7 v8.1, openpcs 7 v8.2, openpcs 7 v9.0, simatic batch v8.1, simatic batch v8.2, simatic batch v9.0, simatic net pc software, simatic pcs 7 v8.1, simatic pcs 7 v8.2, simatic pcs 7 v9.0, simatic route control v8.1, simatic route control v8.2, simatic route control v9.0, simatic wincc (tia portal) v13, simatic wincc (tia portal) v14.0.1, simatic wincc (tia portal) v15.1, simatic wincc (tia portal) v16, simatic wincc v7.3, simatic wincc v7.4, simatic wincc v7.5"
268,improper validation of array index,allow an attacker to inject specially crafted input into memory where it can be executed.,Advantech,"webaccess node, webaccess node"
269,relative path traversal,allow an authenticated user to use a specially crafted file to delete files outside the application’s control.,Advantech,"webaccess node, webaccess node"
270,relative path traversal,allow an attacker to overwrite files outside the application’s control.,Advantech,"webaccess node, webaccess node"
271,relative path traversal,allow a low privilege user to overwrite files outside the application’s control.,Advantech,"webaccess node, webaccess node"
272,improper neutralization of special elements used in an sql command ('sql injection'),allow an attacker to inject sql commands.,Advantech,"webaccess node, webaccess node"
273,stack-based buffer overflow,allow remote code execution.,Advantech,"webaccess node, webaccess node"
274,heap-based buffer overflow,allow remote code execution.,Advantech,"webaccess node, webaccess node"
275,out-of-bounds read,allow access to unauthorized data.,Advantech,"webaccess node, webaccess node"
276,uncontrolled search path element,allow a malicious dll file with the same name of any resident dlls inside the software installation to execute arbitrary code.,Fazecast,jserialcomm
277,improper neutralization of input during web page generation ('cross-site scripting'),the software does not neutralize or incorrectly neutralizes user-controllable input before it is placed in the output used as a webpage that is served to other users.,SAE IT-systems,"fw-50 rtu, series: 5 series; cpu-type: cpu-5b; hardware revision: 2; cpld revision: 6"
278,improper limitation of a pathname to a restricted directory ('path traversal'),allow an attacker to view the file structure of the affected device and access files that should be inaccessible.,SAE IT-systems,"fw-50 rtu, series: 5 series; cpu-type: cpu-5b; hardware revision: 2; cpld revision: 6"
279,exposure of sensitive information to an unauthorized actor,the affected product is vulnerable to sensitive information exposure by unauthorized users.,LCDS—Leão Consultoria e Desenvolvimento de Sistemas LTDA ME,laquis scada
280,improper input validation,the affected product is vulnerable to arbitrary file creation by unauthorized users.,LCDS—Leão Consultoria e Desenvolvimento de Sistemas LTDA ME,laquis scada
281,improper access controls,allow an attacker to write endless log statements into the database without space limits or authentication.,Inductive Automation,ignition 8 gateway
282,stack-based buffer overflow,cause a buffer overflow when loaded by the affected product.,Eaton,hmisoft vu3
283,out-of-bounds read,a specially crafted input file could trigger an out-of-bounds read when loaded by the affected product.,Eaton,hmisoft vu3
284,stack-based buffer overflow,cause a stack-based buffer overflow.,Triangle MicroWorks,dnp3 outstation .net protocol components and dnp3 outstation ansi c source code libraries
285,stack-based buffer overflow,"allows remote attackers cause a denial-of-service condition due to a lack of proper validation of the length of user-supplied data, prior to copying it to a fixed-length stack-based buffer.",Triangle MicroWorks,scada data gateway software
286,out-of-bounds read,"allows remote attackers to disclose sensitive information due to the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated structure.",Triangle MicroWorks,scada data gateway software
287,access of resource using incompatible type ('type confusion'),"allows remote attackers to execute arbitrary code due to the lack of proper validation of user-supplied data, which can result in a type confusion condition.",Triangle MicroWorks,scada data gateway software
288,improper neutralization of input during web page generation ('cross-site scripting'),allow an unauthenticated remote attacker to compromise the confidentiality and integrity of other users’ web sessions.,Siemens,"climatix pol908 (bacnet/ip module), climatix pol909 (awm module)"
289,improper neutralization of script-related html tags in a web page (‘basic xss’),allow an unauthenticated remote attacker to compromise the confidentiality and integrity of other users’ web sessions.,Siemens,"climatix pol908 (bacnet/ip module), climatix pol909 (awm module)"
290,business logic errors,allow an attacker to change the ip address of the device to an invalid value.,Siemens,"apogee mec/mbc/pxc (p2), apogee pxc series (bacnet), apogee pcx series (p2), desigo pxc (power pc), desigo pxm20 (power pc), simotics connect 400, talon tc series (bacnet)"
291,uncontrolled resource consumption (‘resource exhaustion’),"the vxworks-based profinet tcp stack can be forced to make resource-intense calls for every incoming packet, which can lead to a denial-of-service condition.",Siemens,"scalance x-200 switch family (incl.siplus net variants), scalance x-200irt switch family (incl.siplus net variants), scalance x-300 switch family (incl.x408 and siplus net variants), simatic cp 443-1 (incl.siplus net variants), simatic cp 443-1 advanced (incl.siplus net variants), simatic rf180c, simatic rf182c"
292,active debug code,,Siemens,"tim 3v-ie (incl.siplus net variants), tim 3v-ie advanced (incl.siplus net variants), tim 3v-ie dnp3 (incl.siplus net variants), tim 4r-ie (incl.siplus net variants), tim 4r-ie dnp3 (incl.siplus net variants)"
293,uncontrolled resource consumption (‘resource exhaustion’),cause a denial-of-service condition of the web server by sending specially crafted http requests to ports 80/tcp and 443/tcp.,Siemens,"simatic s7-1200 cpu family (incl.siplus variants, simatic s7-300 pn/dp cpu family (incl.related et200 cpus and siplus variants, simatic s7-400 pn/dp v6 and below cpu family (incl.siplus variants, simatic s7-400 pn/dp v7 cpu family (incl.siplus variants, simatic winac (f) 2010"
